ProductName,December_2018,January,February,March,April,May,June,July,August,September,October,November,December_2019
Enamel Pink Coffee Container,3.5,3.0,1.8,9.625,10.75,8.8,13.333,11.375,6.5,5.6,6.8,0.0,0.0
Enamel Pink Tea Container,2.0,2.917,1.875,7.308,8.8,7.95,5.6,0.0,0.0,0.0,0.0,0.0,0.0
Enamel Wash Bowl Cream,2.0,5.062,4.35,3.733,3.706,3.421,3.0,4.526,2.9,4.412,2.9,2.429,1.5
Enamel Watering Can Cream,1.214,3.333,2.5,2.35,3.118,3.576,4.828,3.053,2.769,2.636,2.308,3.077,1.0
Enchanted Bird Coathanger 5 Hook,3.526,4.269,3.636,3.136,3.762,5.706,2.214,2.429,2.667,3.067,4.048,3.029,2.625
Enchanted Bird Plant Cage,2.333,5.5,6.25,4.889,4.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
English Rose Garden Secateurs,9.231,9.207,11.889,3.667,3.571,10.75,3.5,8.762,14.394,12.186,4.156,3.429,0.0
English Rose Hot Water Bottle,4.52,2.371,1.944,2.545,2.2,2.0,4.5,4.667,2.722,5.429,3.754,5.195,4.381
English Rose Metal Waste Bin,0.0,1.667,1.0,3.0,2.0,1.333,2.0,0.0,0.0,0.0,0.0,0.0,0.0
English Rose Notebook A6 Size,0.0,0.0,0.0,2.75,31.167,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
English Rose Notebook A7 Size,5.323,12.333,6.818,9.714,11.381,9.85,15.211,7.595,9.969,5.667,9.3,9.25,7.786
English Rose Scented Hanging Flower,1.667,1.0,1.375,1.333,2.0,2.2,12.667,3.556,3.167,5.818,5.0,0.0,0.0
English Rose Scented Hanging Heart,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
English Rose Small Scented Flower,8.0,1.0,2.0,2.0,6.0,4.0,5.5,1.5,4.0,6.286,3.333,5.273,7.0
English Rose Spirit Level,8.143,5.5,9.0,1.0,1.0,20.667,2.0,4.75,19.278,8.1,4.059,4.846,9.182
Envelope 50 Blossom Images,4.556,1.462,10.833,5.4,9.0,17.231,10.231,5.278,2.947,11.0,5.192,1.8,0.0
Envelope 50 Curious Images,5.0,0.0,1.75,2.0,7.333,4.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Envelope 50 Romantic Images,1.8,0.0,0.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essential Balm 35g Tin In Envelope,9.375,7.25,609.75,12.333,12.5,11.75,12.5,801.75,0.0,0.0,0.0,0.0,0.0
Etched Glass Coaster,20.6,4.0,6.0,10.0,31.1,35.909,35.214,16.4,16.0,5.333,7.333,0.0,0.0
Etched Glass Star Tree Decoration,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eucalyptus & Pinecone Wreath,2.273,1.75,1.0,0.0,12.0,0.0,2.0,1.0,1.6,8.643,6.55,7.333,0.0
Fairy Cake Birthday Candle Set,3.571,3.364,3.167,6.273,3.556,4.571,3.909,4.091,4.0,3.286,7.364,10.2,4.0
Fairy Cake Design Umbrella,2.545,3.0,1.917,2.714,1.25,3.875,1.545,3.667,7.308,4.105,2.3,9.5,0.0
Fairy Cake Flannel Assorted Colour,5.909,216.4,5.625,6.778,894.143,3.0,5.0,5.75,6.25,6.231,16.905,26.456,12.556
Fairy Cake Notebook A5 Size,4.909,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fairy Cakes Notebook A6 Size,4.467,14.133,6.7,3.714,9.75,10.7,6.833,6.75,20.9,6.143,14.048,6.64,1.333
Fairy Cakes Notebook A7 Size,3.579,18.545,7.143,9.143,8.273,8.727,16.643,18.586,7.182,4.8,19.696,8.833,1.75
Fairy Dreams Incense,4.75,14.625,15.143,13.4,5.667,11.4,10.875,11.333,12.875,14.7,22.625,13.5,6.0
Fairy Soap Soap Holder,3.538,3.471,2.786,4.5,4.9,2.333,1.714,1.0,0.0,0.0,0.0,0.0,0.0
Fairy Tale Cottage Night Light,37.143,18.2,14.0,8.0,7.429,42.333,23.333,9.75,8.231,8.393,7.267,10.302,6.111
Family Album White Picture Frame,3.355,3.583,2.105,2.667,2.737,2.385,3.424,2.367,2.727,5.476,2.477,3.1,3.812
Family Photo Frame Cornice,3.111,2.923,2.133,2.409,2.857,3.0,2.35,2.368,1.87,11.611,2.194,2.595,3.769
Fan Black Frame,0.0,0.0,0.0,5.0,0.0,0.0,10.0,17.8,2.0,3.0,10.0,11.0,2.0
Fancy Font Birthday Card,15.714,9.227,12.947,15.938,26.421,17.136,11.333,10.48,9.773,10.909,28.276,10.238,28.231
Fancy Fonts Birthday Wrap,25.0,27.5,25.0,29.688,38.095,25.0,27.083,26.136,70.455,29.762,56.25,32.5,42.5
Fanny's Rest Stopmetal Sign,3.229,2.64,4.409,3.848,4.429,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Faux Fur Chocolate Throw,1.333,2.0,3.5,1.333,0.0,1.0,2.0,2.0,2.0,1.0,1.25,1.429,3.333
Fawn And Mushroom Greeting Card,5.333,9.2,4.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fawn Blue Hot Water Bottle,7.008,4.621,5.05,5.308,4.111,12.857,5.25,3.917,21.333,8.13,6.639,4.821,4.524
Feather Pen Coal Black,10.364,5.375,10.833,7.6,33.0,12.0,12.538,10.905,20.583,21.435,15.074,22.079,8.444
Feather Pen Hot Pink,6.222,22.0,10.714,8.333,38.667,17.143,11.667,10.7,24.167,16.129,19.415,17.196,10.812
Feather Pen Light Pink,9.25,25.444,6.5,10.0,15.0,9.286,8.357,13.167,20.214,13.294,14.909,14.828,8.571
Felt Egg Cosy Blue Rabbit,3.769,8.667,8.167,8.52,3.611,1.0,1.0,2.5,6.5,1.75,2.0,2.188,2.333
Felt Egg Cosy Chicken,3.333,7.053,9.263,9.765,3.412,6.0,4.667,10.25,16.8,5.0,11.167,2.938,2.0
Felt Egg Cosy Ladybird,11.0,7.667,1.0,17.667,1.0,0.0,1.0,1.0,12.0,2.0,1.0,1.7,1.0
Felt Egg Cosy White Rabbit,1.5,7.533,9.5,6.419,3.133,1.0,1.0,4.0,12.0,1.667,2.0,1.688,1.6
Felt Farm Animal Chicken,1.667,3.125,5.692,7.421,3.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Felt Farm Animal Hen,52.0,7.429,1.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Felt Farm Animal Rabbit,51.167,11.032,5.111,7.789,5.0,0.0,12.0,0.0,1.0,0.0,0.0,6.5,0.0
Felt Farm Animal Sheep,72.5,6.318,5.0,5.8,3.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0
Felt Farm Animal White Bunny,90.5,17.25,19.0,6.545,4.476,1.5,1.5,0.0,1.0,0.0,1.0,0.0,1.0
Felt Toadstool Large,16.0,50.0,8.111,6.692,7.9,10.5,2.0,1.0,4.25,4.0,5.5,7.5,12.0
Felt Toadstool Small,12.9,9.6,11.167,6.636,7.273,4.667,1.667,1.667,3.714,10.667,8.667,10.0,12.0
Feltcraft 6 Flower Friends,5.266,4.525,11.667,5.928,11.923,6.138,6.478,7.625,16.064,10.364,52.356,8.0,0.0
Feltcraft Boy Jean-Paul Kit,0.0,0.0,0.0,4.435,3.294,3.615,2.0,2.455,3.462,2.3,3.722,2.478,2.444
Feltcraft Butterfly Hearts,7.344,4.645,7.513,8.116,8.438,7.262,11.0,7.229,22.444,9.429,38.519,24.0,33.0
Feltcraft Christmas Fairy,3.532,6.5,2.0,1.75,1.0,17.0,3.0,9.667,45.0,5.122,5.747,4.33,3.321
Feltcraft Cushion Butterfly,4.145,8.593,11.2,11.233,3.391,4.194,5.238,6.652,13.556,5.321,24.31,0.0,0.0
Feltcraft Cushion Owl,4.333,5.381,10.636,6.778,3.893,4.219,4.0,6.833,11.543,5.683,15.5,5.827,8.0
Feltcraft Cushion Rabbit,3.821,11.429,9.062,7.306,4.594,4.1,5.3,5.286,11.382,5.038,37.458,20.5,0.0
Feltcraft Doll Emily,2.871,7.0,2.312,10.8,10.143,3.0,6.333,3.25,6.5,6.174,4.886,4.081,4.071
Feltcraft Doll Maria,2.474,4.714,3.3,11.8,2.833,2.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feltcraft Doll Molly,5.1,2.667,3.333,10.714,6.625,5.667,5.95,3.944,32.263,5.314,81.083,4.857,3.35
Feltcraft Doll Rosie,5.591,4.091,4.091,11.286,7.143,6.526,6.556,4.062,5.529,5.294,4.761,4.644,0.0
Feltcraft Girl Amelie Kit,0.0,0.0,0.0,4.368,3.333,3.393,3.056,2.556,3.714,5.5,4.439,3.209,2.941
Feltcraft Girl Nicole Kit,0.0,0.0,0.0,3.625,2.941,5.389,2.643,3.643,3.467,3.0,4.917,3.946,2.733
Feltcraft Hairband Pink And Blue,7.905,6.222,3.4,8.769,1.25,6.429,5.727,10.833,5.222,7.429,6.944,2.525,3.429
Feltcraft Hairband Pink And Purple,5.333,6.375,5.25,5.933,5.5,5.4,4.143,6.667,7.6,6.0,4.579,7.147,3.067
Feltcraft Hairband Red And Blue,5.125,4.714,7.857,5.846,6.875,6.714,4.0,1.5,5.4,9.5,5.333,5.298,3.579
Feltcraft Hairbands Pink And White,5.118,7.0,9.625,8.846,6.167,8.556,5.0,7.8,6.7,5.625,6.769,5.424,1.917
Feltcraft Princess Charlotte Doll,4.019,2.696,5.227,9.533,3.375,4.346,5.421,5.818,4.882,5.333,5.817,4.525,4.778
Feltcraft Princess Lola Doll,4.116,2.423,6.067,9.889,3.25,5.55,6.067,7.375,4.893,5.5,4.656,3.344,3.045
Feltcraft Princess Olivia Doll,4.704,2.5,7.0,8.105,3.25,10.0,6.583,7.0,3.474,14.0,4.373,2.5,2.588
Feng Shui Pillar Candle,29.429,13.2,345.0,25.8,33.0,21.333,21.75,60.0,36.5,40.2,20.857,29.818,144.0
Filigree Diamante Chain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Filigree Diamante Earrings,1.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0
Filigree Heart Bird White,0.0,0.0,0.0,0.0,0.0,24.0,26.167,11.0,14.353,9.562,9.778,10.586,4.875
Filigree Heart Butterfly White,0.0,0.0,0.0,0.0,0.0,24.0,22.211,12.412,13.0,15.143,13.062,10.481,6.667
Filigree Heart Daisy White,0.0,0.0,0.0,0.0,0.0,24.0,15.6,12.938,16.941,13.625,7.0,10.8,11.333
Filigris Heart With Butterfly,17.556,13.438,28.294,17.143,14.941,11.333,11.625,15.048,13.714,45.143,39.909,7.826,6.429
Fine Silver Necklace W Pastel Flowe,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,1.0
Fine Wicker Heart,11.371,7.04,12.36,17.895,10.789,9.651,8.368,6.333,6.6,0.0,0.0,0.0,0.0
Fire Polished Glass Bracelet Black,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Fire Polished Glass Bracelet Green,1.0,1.0,0.0,0.0,0.0,12.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0
Fire Polished Glass Bracelet Montan,1.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fire Polished Glass Bracelet Red,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Fire Polished Glass Neckl Bronze,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fire Polished Glass Neckl Gold,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fire Polished Glass Neckl Green,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
First Aid Tin,5.0,7.7,3.0,11.929,13.545,8.812,5.364,9.8,3.25,6.952,8.545,3.111,3.25
First Class Holiday Purse,1.0,2.0,1.25,0.0,1.5,0.0,2.0,1.5,0.0,0.0,1.5,0.0,0.0
First Class Luggage Tag,2.667,1.923,6.5,7.5,7.0,3.0,3.333,2.25,3.5,2.0,1.0,3.833,1.0
First Class Passport Cover,2.6,1.5,1.0,0.0,3.333,3.0,4.0,1.8,3.5,2.0,1.0,2.0,1.0
Five Cats Hanging Decoration,2.0,3.741,4.714,3.2,4.333,2.25,2.667,2.667,2.667,2.667,2.3,2.2,0.0
Five Heart Hanging Decoration,2.833,3.833,2.789,3.733,4.0,5.0,2.882,3.182,3.571,3.6,3.25,1.833,1.0
Flag Of St George,0.0,1.0,4.0,3.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Flag Of St George Car Flag,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
Flag Of St George Chair,0.0,0.0,0.0,2.0,12.0,1.0,5.0,0.0,0.0,3.5,2.0,0.0,0.0
Flames Sunglasses Pink Lenses,0.0,8.0,1.0,12.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,1.0,0.0
Flamingo Lights,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Floor Cushion Elephant Carnival,1.167,1.25,1.0,1.0,1.0,1.5,1.833,0.0,1.5,2.0,4.833,1.25,1.0
Floor Lamp Shade Wood Base,1.5,0.0,2.0,4.0,3.333,1.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0
Floral Bathroom Set,0.0,1.0,1.0,1.5,4.0,1.0,1.0,3.5,1.0,0.0,0.0,0.0,0.0
Floral Blue Monster,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
Floral Folk Stationery Set,2.72,3.615,1.867,1.864,2.8,3.056,6.657,6.244,3.892,4.533,4.643,5.056,5.583
Floral Pink Monster,1.0,0.0,2.5,3.0,1.0,1.0,1.0,3.0,0.0,0.0,6.0,1.0,0.0
Floral Soft Car Toy,2.333,1.2,1.0,0.0,1.0,0.0,1.0,3.5,0.0,1.0,3.0,1.5,0.0
Flower Blue Clock With Sucker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.556,4.0,0.0,0.0,0.0,0.0
Flower Burst Silver Ring Crystal,1.75,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flower Fairy 5 Drawer Liners,5.667,6.0,4.75,3.5,2.5,4.5,3.75,0.0,4.0,3.2,3.571,2.0,5.0
Flower Fairy Incense Bouquet,2.0,0.0,0.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flower Garland Necklace Red,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
"Flower Glass Garland Neckl36""Black",1.0,0.0,1.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
"Flower Glass Garland Neckl36""Blue",0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
"Flower Glass Garland Neckl36""Green",0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
"Flower Glass Garld Neckl36""Amethyst",1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.667,0.0,1.0,0.0,0.0
"Flower Glass Garld Neckl36""Turquois",1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flower Purple Clock With Sucker,1.0,1.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Flower Shop Design Mug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Flower Vine Raffia Food Cover,2.083,2.0,3.556,2.643,2.9,3.857,3.214,2.739,3.75,2.7,1.2,2.182,2.25
Flowers Chandelier T-Light Holder,0.0,0.0,0.0,0.0,4.667,3.062,2.5,2.0,3.0,2.333,74.692,80.333,0.0
Flowers Handbag Blue And Orange,0.0,0.0,0.0,0.0,0.0,16.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flowers Stickers,5.833,2.077,2.0,6.333,4.0,7.714,9.5,0.0,12.0,4.4,1.667,2.6,1.0
Flowers Tile Coaster,0.0,48.0,8.0,0.0,4.0,2.0,1.0,21.0,39.6,20.667,12.5,14.333,14.0
Flowers Tile Hook,6.0,3.2,0.0,0.0,2.667,0.0,2.0,5.8,0.0,0.0,0.0,0.0,0.0
Fluted Antique Candle Holder,10.321,9.2,7.857,18.8,7.0,12.6,17.625,5.7,11.0,12.917,9.292,18.467,19.467
Flying Pig Watering Can,8.6,24.0,1.667,4.0,1.667,3.0,3.0,2.5,2.667,4.0,3.0,1.25,1.0
Folding Butterfly Mirror Hot Pink,0.0,0.0,0.0,0.0,0.0,19.56,16.15,5.867,25.389,8.389,6.529,6.235,15.0
Folding Butterfly Mirror Ivory,0.0,0.0,0.0,0.0,0.0,10.476,8.389,5.625,3.769,5.176,6.067,3.581,2.0
Folding Butterfly Mirror Red,0.0,0.0,0.0,0.0,0.0,15.0,18.789,5.6,32.1,6.444,6.0,3.636,14.7
Folding Camping Scissor W/Knif & S,12.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Folding Shoe Tidy,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Folding Umbrella Blackblue Polkadot,1.5,2.2,2.5,3.75,4.0,0.0,2.143,2.0,2.8,2.333,1.4,1.688,4.0
Folding Umbrella Chocolate Polkadot,1.25,2.0,1.0,1.75,0.0,5.0,3.0,2.111,3.25,2.167,3.333,2.167,1.0
Folding Umbrella Cream Polkadot,1.5,1.824,2.667,3.0,0.0,0.0,2.429,1.571,4.833,4.5,14.0,2.4,1.0
Folding Umbrella Pinkwhite Polkadot,1.0,1.857,0.0,2.75,1.0,1.0,4.0,1.429,4.4,4.0,3.5,1.667,0.0
Folding Umbrella Red/White Polkadot,1.9,2.571,3.0,2.667,1.0,3.75,4.444,2.286,3.545,3.889,3.25,2.25,3.0
Folding Umbrella White/Red Polkadot,1.333,1.0,1.0,2.0,0.0,1.0,1.6,1.714,3.5,6.0,13.667,1.75,0.0
Folk Art Greeting Card Pack/12,1.0,3.0,11.5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Folk Art Metal Heart T-Light Holder,12.0,0.0,0.0,0.0,0.0,0.0,14.0,4.333,12.0,4.2,9.5,13.0,0.0
Folk Art Metal Star T-Light Holder,5.667,1.5,0.0,0.0,0.0,12.0,12.0,4.0,14.5,13.2,8.067,5.087,5.75
Folk Felt Hanging Multicol Garland,8.0,4.48,2.667,4.0,2.333,0.0,3.667,2.211,0.0,1.0,0.0,1.0,0.0
Folkart Christmas Tree T-Light Hold,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,15.0,0.0,0.0,0.0,0.0
Folkart Clip On Stars,1.286,1.556,1.0,0.0,2.0,0.0,0.0,1.5,1.0,8.727,13.864,8.182,5.312
Folkart Heart Napkin Rings,2.0,1.824,5.6,2.0,6.625,8.4,11.0,17.6,2.5,9.0,0.0,12.0,0.0
Folkart Star Christmas Decorations,12.5,0.0,0.0,0.0,0.0,0.0,4.0,6.0,11.0,27.273,26.781,30.714,21.667
Folkart Zinc Heart Christmas Dec,7.056,5.875,20.35,6.84,2.588,30.429,28.714,6.083,31.083,12.471,9.053,8.097,7.4
Folkart Zinc Star Christmas Dec,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food Container Set 3 Love Heart,3.071,3.977,9.167,11.353,1.8,9.9,4.652,3.071,9.391,6.476,9.769,8.12,4.0
Food Cover With Beads Set 2,0.0,0.0,0.0,0.0,0.0,9.854,4.714,11.75,5.0,4.846,2.769,1.538,1.333
Food/Drink Sponge Stickers,30.0,32.0,24.0,54.857,14.0,44.333,24.0,38.8,0.0,24.0,0.0,24.0,12.5
Foot Stool Home Sweet Home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.307,2.276,2.21,1.375
Forked Cactus Candle,2.167,1.5,1.0,0.0,4.0,4.0,0.0,1.0,1.0,4.571,0.0,3.143,1.0
Four Hook White Lovebirds,3.818,3.388,2.964,3.738,9.324,2.48,3.889,2.44,4.774,2.828,3.688,2.809,5.125
Four Rabbit Easter Decorations,0.0,6.0,5.0,6.5,3.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frappucino Scarf Knitting Kit,1.556,2.0,0.0,8.667,1.5,0.0,12.0,9.75,12.0,5.25,7.154,3.071,2.0
Freestyle Canvas Art Picture,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.333,1.0,4.143,0.0,0.0,0.0
French Bathroom Sign Blue Metal,4.5,5.0,9.154,6.25,10.519,5.818,4.476,16.765,5.577,2.75,5.105,3.077,5.875
French Blue Metal Door Sign 0,6.75,7.4,7.875,8.182,5.0,3.091,4.923,6.6,6.833,5.4,3.714,6.0,5.5
French Blue Metal Door Sign 1,5.0,3.467,5.938,6.136,5.312,3.115,5.889,7.5,7.182,4.158,6.789,7.05,8.6
French Blue Metal Door Sign 2,3.727,4.6,5.882,5.091,4.722,3.714,5.0,2.812,6.727,5.0,7.176,6.308,10.333
French Blue Metal Door Sign 3,3.091,4.2,7.4,4.565,5.545,3.789,6.231,4.0,7.056,4.833,7.571,3.353,5.833
French Blue Metal Door Sign 4,3.4,4.091,5.6,6.231,5.667,3.0,4.611,2.5,7.312,2.818,6.643,4.133,2.857
French Blue Metal Door Sign 5,7.556,2.588,7.417,5.15,5.667,4.091,4.737,7.0,7.071,3.182,6.188,6.312,6.0
French Blue Metal Door Sign 6,4.0,2.909,6.923,6.0,4.929,4.083,6.7,3.857,7.538,3.1,6.444,6.857,4.333
French Blue Metal Door Sign 7,4.5,3.889,6.6,5.0,6.091,3.818,5.833,4.0,7.727,4.167,7.778,7.556,8.0
French Blue Metal Door Sign 8,3.875,3.5,8.667,6.385,5.417,3.467,6.222,4.167,6.571,2.818,5.923,4.273,10.0
French Blue Metal Door Sign 9,1.167,4.429,10.167,4.294,5.909,3.786,5.444,2.8,7.636,5.0,4.333,5.5,5.5
French Blue Metal Door Sign No,4.778,1.364,7.615,2.444,6.778,3.591,5.462,2.571,10.368,2.062,17.333,3.714,30.75
French Carriage Lantern,0.0,0.0,0.0,0.0,0.0,2.222,2.733,1.625,1.75,4.5,2.2,1.7,1.5
French Chateau Large Fruit Bowl,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French Chateau Large Platter,1.5,1.0,0.0,4.286,4.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French Chateau Oval Platter,0.0,0.0,0.0,2.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French Chateau Small Fruitbowl,0.0,0.0,0.0,3.25,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French Enamel Candleholder,1.222,1.318,3.276,4.514,4.353,4.913,4.864,5.55,4.5,6.55,7.171,5.818,6.417
French Enamel Pot W Lid,7.8,9.955,1.857,5.182,4.5,3.429,4.1,3.455,3.3,2.4,3.357,3.467,0.0
French Enamel Utensil Holder,1.667,4.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French Enamel Water Basin,5.833,5.297,1.6,1.833,3.0,2.4,1.75,2.625,2.1,2.0,2.286,2.154,1.333
French Floral Cushion Cover,1.0,0.0,12.0,0.0,9.0,7.765,11.333,5.0,5.0,6.5,5.1,6.9,6.833
French Garden Sign Blue Metal,6.667,5.5,7.6,3.867,7.5,8.364,6.133,6.333,5.4,7.4,3.444,4.714,3.833
French Kitchen Sign Blue Metal,6.429,7.0,10.4,3.889,11.619,6.833,6.875,19.0,5.391,3.0,3.688,3.308,6.2
French Lattice Cushion Cover,1.0,0.0,0.0,0.0,12.0,9.375,7.385,5.25,15.0,6.083,6.444,5.111,1.0
French Laundry Sign Blue Metal,4.778,5.0,4.455,8.2,16.0,6.154,3.889,18.688,6.25,3.308,3.615,1.857,1.857
French Lavender Scent Heart,1.5,2.667,3.667,6.5,3.5,2.0,16.714,8.655,14.357,6.6,3.0,1.0,0.0
French Paisley Cushion Cover,3.0,1.0,0.0,6.0,12.0,8.692,6.706,4.667,4.0,7.55,6.571,5.36,4.714
French Style Embossed Heart Cabinet,1.0,1.0,1.0,1.2,1.0,0.0,1.0,0.0,1.0,1.25,1.0,2.0,0.0
French Style Storage Jar Bonbons,0.0,0.0,0.0,8.0,0.0,0.0,40.0,35.2,44.688,33.9,15.0,5.0,0.0
French Style Storage Jar Cafe,0.0,0.0,0.0,8.0,0.0,0.0,30.0,44.312,24.0,27.231,15.667,25.211,20.0
French Style Storage Jar Jam,0.0,0.0,0.0,12.0,0.0,0.0,12.0,12.0,6.2,9.0,5.4,13.375,9.0
French Toilet Sign Blue Metal,7.9,9.444,7.077,6.091,6.957,6.765,8.043,18.0,5.846,2.875,5.231,3.3,3.167
French Wc Sign Blue Metal,7.444,7.381,5.125,8.789,6.455,5.125,5.095,5.92,7.194,5.567,4.885,4.4,11.8
Freshwater Pearl Bracelet Gold,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Freshwater Pearl Bracelet Ivory,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fridge Magnets La Vie En Rose,8.8,6.25,10.5,25.2,12.0,23.333,12.0,11.143,13.2,18.857,15.0,17.583,24.857
Fridge Magnets Les Enfants Assorted,13.571,8.833,12.0,15.273,10.0,28.0,10.0,25.333,13.0,15.0,16.5,23.0,29.0
Fridge Magnets Us Diner Assorted,12.75,10.9,9.25,19.688,13.5,25.0,20.0,15.429,14.0,18.857,11.417,20.8,37.5
Frog Candle,2.75,1.5,4.0,4.0,4.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
Frog King Watering Can,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frog Sock Puppet,1.0,6.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frosted White Base,1.333,0.0,5.25,7.667,13.5,2.0,42.0,8.5,10.5,0.0,12.0,24.0,2.0
Fruit Salad Bag Charm,1.0,1.25,0.0,1.167,1.0,1.0,1.2,1.286,1.0,1.0,1.0,1.2,7.0
Fruit Tree And Birds Wall Plaque,2.0,1.571,1.5,1.667,1.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0
Frying Pan Blue Polkadot,3.0,2.036,2.0,2.75,1.0,1.4,1.25,1.556,1.75,5.8,1.0,1.125,4.0
Frying Pan Pink Polkadot,1.789,1.5,2.364,2.0,9.556,1.5,2.0,2.8,2.2,3.533,3.125,2.0,4.0
Frying Pan Red Retrospot,3.19,2.357,2.462,1.778,4.0,2.429,1.286,1.722,2.25,4.778,2.5,2.188,4.947
Frying Pan Union Flag,3.361,9.0,12.75,7.438,2.167,7.231,3.067,13.25,4.923,7.75,14.053,4.947,7.308
Full English Breakfast Plate,4.961,5.778,7.417,3.1,7.222,14.5,3.882,4.308,2.812,6.667,4.5,3.776,6.111
Funky Diva Pen,14.6,29.8,43.4,88.167,36.905,44.615,35.737,33.615,46.13,41.593,37.13,20.353,26.25
